MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Abidjan,0,0,1,0,0,1,0,0
Achaian,0,0,0,1,0,0,0,1
Achromatophil,1,0,0,0,0,0,0,1
Aegiceras,0,1,0,0,0,0,1,0
Aegiceras,0,1,0,0,0,0,1,0
Aegiceras,0,1,0,0,0,0,1,0
Aegiceras,0,1,0,0,0,0,1,0
Aegiceras,0,1,0,0,0,0,1,0
Africander,0,0,1,0,0,0,0,1
Akha,0,1,0,0,0,0,1,0
Aleppo,0,0,1,0,0,0,0,1
Ambagiousness Graywether,1,0,0,0,0,0,1,0
Ambagiousness Graywether,1,0,0,0,0,0,1,0
Ambagiousness Latrodectus,0,0,0,1,0,0,0,1
Amelanchier II,1,0,0,0,0,0,1,0
Anasa,0,1,0,0,1,0,0,0
Anchoretism,0,1,0,0,0,0,1,0
Andreaeales,0,0,0,1,0,1,0,0
Andreaeales,0,1,0,0,0,0,1,0
Andreaeales,0,1,0,0,0,0,1,0
Anthurium,1,0,0,0,1,0,0,0
Anthurium,1,0,0,0,1,0,0,0
Araban,1,0,0,0,0,0,1,0
Arundo,1,0,0,0,0,0,1,0
Arundo,1,0,0,0,0,0,1,0
Astragalomancy,0,1,0,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Attica,0,0,1,0,0,0,1,0
Auricula,1,0,0,0,1,0,0,0
Ballottement,0,1,0,0,0,1,0,0
Ballottement,0,1,0,0,0,1,0,0
Ballottement,0,1,0,0,0,1,0,0
Ballottement,0,1,0,0,0,1,0,0
Ballottement Chevy,0,0,0,1,0,1,0,0
Bandung,0,0,0,1,0,0,0,1
Bangui,0,1,0,0,0,1,0,0
Bedcover,1,0,0,0,0,1,0,0
Bedcover,1,0,0,0,0,1,0,0
Bhaga Chloropicrin,1,0,0,0,1,0,0,0
Bhaga Comedietta,0,0,0,1,1,0,0,0
Bhaga Dipteryx,0,0,0,1,0,0,1,0
Bhaga Dipteryx,0,0,0,1,0,0,1,0
Bhaga Hirundo,0,0,1,0,0,0,1,0
Bhaga Hirundo,0,0,1,0,0,0,1,0
Bhaga Steinbok,1,0,0,0,1,0,0,0
Bhaga Steinbok,1,0,0,0,1,0,0,0
Bhaga Yana,0,1,0,0,0,0,0,1
Bhaga Yana,0,1,0,0,0,0,0,1
