MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Achaian,0,0,0,1,0,0,1,0
Achromatophil,0,0,1,0,1,0,0,0
Africander,0,0,0,1,0,0,0,1
Aleppo,0,0,1,0,0,0,1,0
Amelanchier,0,0,1,0,0,1,0,0
Amelanchier II,0,0,0,1,0,0,0,1
Anasa,1,0,0,0,1,0,0,0
Anasa,1,0,0,0,1,0,0,0
Andreaeales,0,0,0,1,0,0,1,0
Arundo,0,1,0,0,0,1,0,0
Attica,0,1,0,0,0,0,1,0
Bandung,0,0,1,0,0,0,1,0
Bhaga Chloropicrin,0,0,1,0,1,0,0,0
Brayera,0,0,0,1,0,0,0,1
Brighton,1,0,0,0,1,0,0,0
CNS,1,0,0,0,1,0,0,0
Calopogon,0,0,1,0,0,0,0,1
Calpca,0,1,0,0,0,0,0,1
Calpca,0,1,0,0,0,0,0,1
Calpca Dato,0,0,0,1,0,0,0,1
Calpca Dato,0,0,0,1,0,0,0,1
Calpca Dato,0,0,0,1,0,0,0,1
Calpca Dato,0,0,0,1,0,0,0,1
Carburizer Affronter,0,0,0,1,0,0,0,1
Carburizer Affronter,0,0,0,1,0,0,0,1
Carburizer Affronter,0,0,0,1,0,0,0,1
Carburizer Affronter,0,0,0,1,0,0,0,1
Carburizer Carolinian,0,1,0,0,0,1,0,0
Carburizer Carolinian,0,1,0,0,0,1,0,0
Carburizer Fict,0,0,0,1,1,0,0,0
Carburizer Judaica,0,1,0,0,0,0,0,1
Carburizer Judaica,0,1,0,0,0,0,0,1
Carburizer Judaica,0,1,0,0,0,0,0,1
Carburizer Judaica,0,1,0,0,0,0,0,1
Carburizer Micruroides,0,0,1,0,0,0,0,1
Carburizer Micruroides,0,0,0,1,0,0,1,0
Carburizer Paedagogy,1,0,0,0,0,1,0,0
Carburizer Paedagogy,0,0,0,1,0,0,0,1
Carburizer Paedagogy,0,0,0,1,0,0,0,1
Carburizer Paedagogy,0,0,0,1,0,0,0,1
Carburizer Percophidae,0,0,0,1,0,0,0,1
Carburizer Torino,0,0,0,1,0,0,1,0
Carburizer Wynnea,0,0,0,1,0,0,0,1
Carburizer Wynnea,0,0,0,1,0,0,0,1
Carburizer Wynnea,1,0,0,0,0,0,1,0
Centaline Convening,0,0,0,1,0,0,0,1
Centaline Convening,0,0,0,1,0,0,0,1
Centaline Quadratic,0,0,0,1,0,0,0,1
Centaline Quadratic,0,0,0,1,0,0,0,1
Centaline Quadratic,0,0,0,1,0,0,0,1
Chelydri,0,1,0,0,0,0,0,1
Chelydri,0,1,0,0,0,0,0,1
Chippewa,0,0,1,0,1,0,0,0
Coronilla,0,0,1,0,0,0,1,0
Costia,0,0,0,1,0,0,0,1
Counterchange,0,1,0,0,0,1,0,0
Counterchange,0,1,0,0,0,1,0,0
Counterchange,0,1,0,0,0,1,0,0
Craniotomy,0,0,0,1,0,1,0,0
Decaline Buff,0,1,0,0,1,0,0,0
Decaline Buff,0,1,0,0,1,0,0,0
Decaline Bulldozer,1,0,0,0,0,0,0,1
Decaline Bulldozer,1,0,0,0,0,0,0,1
Decaline Challenger,0,1,0,0,0,1,0,0
Decaline Challenger,0,1,0,0,0,1,0,0
Decaline Distrust,0,0,0,1,1,0,0,0
Decaline Distrust,0,0,0,1,1,0,0,0
Decaline Distrust,0,0,0,1,0,1,0,0
Decaline Distrust,0,0,0,1,0,1,0,0
Decaline Gist,0,1,0,0,1,0,0,0
Decaline Gist,0,1,0,0,1,0,0,0
Decaline Martin,0,0,0,1,0,0,1,0
Decaline Martin,0,0,0,1,0,0,1,0
Demivierge,1,0,0,0,0,0,1,0
Diegueno,1,0,0,0,1,0,0,0
Elanus,1,0,0,0,1,0,0,0
Ennuya,0,0,0,1,1,0,0,0
Ephemeropteran,0,1,0,0,1,0,0,0
Ethnocracy,0,0,0,1,0,0,0,1
Excalibur,1,0,0,0,0,0,0,1
Flneur,0,0,1,0,0,0,1,0
Friseur,0,1,0,0,1,0,0,0
Gascogne,1,0,0,0,0,0,1,0
Gypsyhood,0,1,0,0,1,0,0,0
Halobacter Ball,0,0,0,1,0,0,1,0
Halobacter Blast,0,0,0,1,0,0,0,1
Halobacter Gesundheit,0,0,1,0,0,0,1,0
Halobacter Haw,0,0,0,1,1,0,0,0
Halobacter Jiggers,0,1,0,0,0,0,0,1
Halobacter Oho,0,0,1,0,0,0,1,0
Halobacter Prithee,1,0,0,0,0,0,1,0
Halobacter Real,0,0,0,1,0,0,0,1
Halobacter Right,0,0,1,0,0,0,1,0
Halobacter Soft,1,0,0,0,0,0,0,1
Halobacter Steady,1,0,0,0,0,0,1,0
Halobacter Thwack,0,0,0,1,0,0,0,1
Heteroaromatic,0,0,0,1,1,0,0,0
Hexastichon,0,0,0,1,1,0,0,0
Hyalographer,0,0,0,1,1,0,0,0
Infusorian,1,0,0,0,1,0,0,0
Infusorian,1,0,0,0,1,0,0,0
Isopectic Altering,1,0,0,0,0,0,0,1
Isopectic Altering,1,0,0,0,0,0,0,1
Isopectic Am,0,1,0,0,0,1,0,0
Isopectic Am,0,1,0,0,0,1,0,0
Isopectic Am,0,1,0,0,0,1,0,0
Isopectic Circular,0,0,1,0,0,0,1,0
Isopectic Compiler,1,0,0,0,0,0,1,0
Isopectic Digitigrade,0,1,0,0,0,1,0,0
Isopectic Encoding,0,0,1,0,0,1,0,0
Isopectic Hypethral,0,0,1,0,1,0,0,0
Isopectic Hypethral,0,0,1,0,0,0,1,0
Isopectic License,1,0,0,0,0,1,0,0
Isopectic Music,0,0,0,1,0,0,1,0
Isopectic Myth,0,0,0,1,0,1,0,0
Isopectic Myth,0,0,0,1,0,1,0,0
Isopectic Myth,0,0,0,1,0,1,0,0
Isopectic Myth,0,0,0,1,0,1,0,0
Isopectic Postulate,0,0,1,0,1,0,0,0
Isopectic Postulate,0,0,1,0,0,0,0,1
Isopectic Postulate,0,0,1,0,0,0,0,1
Isopectic Rutaceous,0,1,0,0,1,0,0,0
Isopectic Symposiac,0,0,1,0,0,1,0,0
Isopectic Trick,1,0,0,0,0,1,0,0
Isopectic Trick,1,0,0,0,0,1,0,0
Isopectic Trick,1,0,0,0,0,1,0,0
Isopectic Trick,1,0,0,0,0,1,0,0
Isopectic Urnfield,0,1,0,0,0,0,0,1
Italian ML,0,0,0,1,0,0,1,0
Jument,1,0,0,0,0,0,0,1
Jument,1,0,0,0,0,0,0,1
Kalahari,0,1,0,0,0,0,0,1
Kalahari,0,1,0,0,0,0,0,1
Lepiotaceae,1,0,0,0,0,0,0,1
Lepiotaceae,1,0,0,0,0,0,0,1
Lepiotaceae,0,0,1,0,0,0,0,1
Lexington Barter,0,0,0,1,0,0,0,1
Lexington Barter,0,0,0,1,0,0,0,1
Lexington Barter,0,0,0,1,0,0,0,1
Lexington Barter,0,0,0,1,0,0,0,1
Littrateur Isoptin,0,0,0,1,0,0,0,1
Littrateur Radiov,0,0,0,1,0,0,0,1
Marmite PRO,0,0,0,1,1,0,0,0
Marmite PRO MAX,0,1,0,0,0,1,0,0
Marmite PRO MAX,0,1,0,0,0,1,0,0
Marmite PRO MAX,0,1,0,0,0,1,0,0
Marmite PRO MAX,0,0,0,1,0,1,0,0
Marmite PRO MAX,0,0,0,1,0,1,0,0
Martinmas,0,0,0,1,0,0,1,0
Martinmas,0,0,0,1,0,0,1,0
Membracidae,0,0,1,0,0,0,1,0
Michaelmas PRO,0,1,0,0,0,1,0,0
Michaelmas PRO V2 HD,0,1,0,0,0,1,0,0
Misbelief Charactery,0,0,1,0,1,0,0,0
Misreckon Continue,1,0,0,0,0,1,0,0
Misreckon Continue,1,0,0,0,0,1,0,0
Mojave,1,0,0,0,0,0,0,1
Mojave,1,0,0,0,0,0,0,1
Multiped Demonography,0,1,0,0,1,0,0,0
Multiped Footle,0,0,0,1,0,1,0,0
Multiped Metaphrast,1,0,0,0,1,0,0,0
Multiped Millboard,0,0,0,1,0,1,0,0
Multiped Sendal,0,0,1,0,0,1,0,0
Multiped Sendal,0,0,1,0,0,1,0,0
Multiped Sporangium,1,0,0,0,1,0,0,0
Multiped Tessera,0,0,0,1,0,1,0,0
Multiped Underlinen,1,0,0,0,0,1,0,0
Nanticoke Heliophila,1,0,0,0,0,0,0,1
Nanticoke Heliophila,1,0,0,0,0,0,0,1
Nanticoke Stabroek,0,1,0,0,1,0,0,0
Nondefiner Foretaste,0,0,0,1,1,0,0,0
Oomycetes,0,0,0,1,0,0,0,1
Orcinus Triclinic,0,0,0,1,0,0,0,1
Orcinus Vinegarish,1,0,0,0,0,1,0,0
Pakchoi,0,0,1,0,0,0,0,1
Pangea,1,0,0,0,0,0,1,0
Pashka,0,0,1,0,0,0,0,1
Pernor,0,0,0,1,1,0,0,0
Phasianid Tasseler,0,0,1,0,0,0,1,0
Phenicia,0,0,0,1,0,1,0,0
Philhellinist,1,0,0,0,0,1,0,0
Photochronograph,0,0,1,0,0,1,0,0
Photopathy,0,0,0,1,1,0,0,0
Pinnotheridae,0,1,0,0,0,0,1,0
Pooecetes,0,0,0,1,0,0,0,1
Pooecetes,0,0,0,1,0,0,0,1
Poronotus Snafu,1,0,0,0,0,0,0,1
Prodomos,0,0,1,0,0,0,1,0
Proventil,1,0,0,0,0,1,0,0
Reinclusion,0,0,1,0,0,0,0,1
Reversionist,1,0,0,0,1,0,0,0
Reveverberatory Glutelin,0,0,1,0,0,1,0,0
Reveverberatory Omentum,0,1,0,0,1,0,0,0
Reveverberatory Omentum,0,1,0,0,1,0,0,0
Reveverberatory Omentum,0,1,0,0,1,0,0,0
Reveverberatory Ozonosphere,0,1,0,0,1,0,0,0
Reveverberatory Sciamachy,0,0,0,1,0,1,0,0
Scardinius,1,0,0,0,0,0,0,1
Scardinius,1,0,0,0,0,0,0,1
Shaveling,1,0,0,0,1,0,0,0
Sison,0,1,0,0,0,0,0,1
Sociogenesis,0,0,0,1,0,0,0,1
Subideal,0,1,0,0,1,0,0,0
Subideal,0,1,0,0,1,0,0,0
Sulawesi,0,1,0,0,0,0,1,0
Tails,0,0,1,0,0,0,1,0
Teletube,0,0,1,0,0,0,1,0
Tetranychid,1,0,0,0,0,0,1,0
Tetranychid,1,0,0,0,0,0,1,0
Thelephoraceae,0,0,1,0,0,0,0,1
Torero,0,0,1,0,0,1,0,0
Torero,0,0,1,0,0,1,0,0
Trephritidae Clonal,0,0,0,1,0,0,0,1
Trephritidae Jumpy,0,1,0,0,1,0,0,0
Trephritidae Speakable,1,0,0,0,0,0,0,1
Trephritidae Stripy,0,1,0,0,1,0,0,0
Trephritidae Stripy,0,1,0,0,1,0,0,0
Trephritidae Vocalic,0,0,0,1,0,0,1,0
Trichechus,0,1,0,0,0,0,0,1
Truman,0,0,0,1,0,0,1,0
Tyrannus,0,1,0,0,0,1,0,0
Tyrannus,0,1,0,0,0,1,0,0
Vaisya MM,1,0,0,0,1,0,0,0
Vaisya MM,1,0,0,0,1,0,0,0
Vaisya MM,0,0,0,1,1,0,0,0
Vaisya MM,0,0,0,1,1,0,0,0
Vaisya MX,0,0,0,1,0,0,0,1
Vaisya MX,0,0,0,1,0,0,0,1
WHR,0,1,0,0,0,1,0,0
Windedness,1,0,0,0,0,1,0,0
